dt,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather_val_1,weather_val_2,weather_val_3,weather_val_4,weather_val_5,weather_val_6,weather_val_7,weather_val_8,weather_val_9,weather_val_10,weather_val_11,weather_val_12,weather_val_13,weather_val_14,weather_val_15,weather_val_16,weather_val_17,weather_val_18,weather_val_19,weather_val_20,weather_val_21,weather_val_22,weather_val_23,weather_val_24,weather_val_25,forecast10min,forecast20min,forecast30min,forecast40min,forecast50min,forecast60min
1715829000,1.8974853193561656,2.1126342452476816,0.537130409865606,-0.8108673477018882,0.7449051492188503,-1.267719826839091,0.5094721129375396,-0.1671135990234368,-0.5284545865640236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715829600,1.8974853193561656,2.1126342452476816,0.537130409865606,-0.8108673477018882,0.7449051492188503,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.3493626911520969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715830200,1.8974853193561656,2.1126342452476816,0.537130409865606,-0.8762074998141413,0.6480660756538373,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.3493626911520969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715830800,2.124949091272296,2.243352464434913,0.537130409865606,-0.9415476519263944,0.7523543087238449,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.3493626911520969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715831400,2.124949091272296,2.243352464434913,0.1147584590394663,-0.9415476519263944,0.7523543087238449,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,0.0983670473777196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715832000,2.348351010118476,2.3717364297080765,0.1147584590394663,-1.0068878040386475,0.8491933822888791,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,0.0983670473777196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715832600,2.7992167008808093,2.630838614168485,0.1147584590394663,-1.2029082603754069,0.9348587165963792,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,0.0983670473777196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715833200,2.5758147820346062,2.5024546488953088,0.1147584590394663,-1.1375681082631537,0.8454688025363607,-0.3036134531418812,0.5094721129375396,-0.4853237217404218,0.2774589427896463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715833800,2.5758147820346062,2.5024546488953088,-0.3076134917866734,-1.2029082603754069,0.7411805694663531,-0.3036134531418812,0.5094721129375396,-0.4853237217404218,0.2774589427896463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715834400,2.7992167008808093,2.630838614168485,-0.3076134917866734,-1.2029082603754069,0.9348587165963792,-0.3036134531418812,0.5094721129375396,-0.3730142666638387,-0.5642729656464088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715835000,2.7992167008808093,2.630838614168485,-0.3076134917866734,-1.2682484124876598,0.8305704835263718,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,-0.2598167434461336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715835600,3.02668047279694,2.761556833355717,-0.3076134917866734,-1.2682484124876598,1.0242486306563978,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,-0.2598167434461336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715836200,2.7992167008808093,2.630838614168485,-0.3076134917866734,-1.2029082603754069,0.9348587165963792,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,-0.2598167434461336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715836800,2.7992167008808093,2.630838614168485,-0.7299854426128132,-1.3335885645999128,0.726282250456343,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.6180005342699869,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715837400,3.02668047279694,2.761556833355717,-0.7299854426128132,-1.398928716712166,0.8119475847638643,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.6180005342699869,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715838000,3.02668047279694,2.761556833355717,-0.7299854426128132,-1.3335885645999128,0.9199603975863904,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.6180005342699869,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715838600,3.02668047279694,2.761556833355717,-0.7299854426128132,-1.398928716712166,0.8119475847638643,1.383572700828236,0.5094721129375396,-0.0984800431433026,0.161049210771894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715839200,3.02668047279694,2.761556833355717,-0.7299854426128132,-1.3335885645999128,0.9199603975863904,1.383572700828236,0.5094721129375396,-0.4853237217404218,-1.3343681159176934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715839800,3.25414424471307,2.8922750525429493,-1.1523573934389528,-1.464268868824419,0.8976129190713856,1.383572700828236,0.5094721129375396,-0.4853237217404218,-1.3343681159176934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715840400,3.477546163559273,3.0206590178161257,-1.1523573934389528,-1.5949491730489254,0.864091701298868,-0.3036134531418812,0.5094721129375396,-0.4853237217404218,0.0983670473777196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715841000,2.348351010118476,2.3717364297080765,-1.1523573934389528,-0.8108673477018882,1.135986023231421,-0.3036134531418812,0.5094721129375396,2.416003867737972,-0.6000913447287942,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715841600,3.420680220580246,2.9226203534256983,-0.7299854426128132,-1.986990085722444,0.0968282722837369,-0.3036134531418812,0.5094721129375396,-0.4853237217404218,0.0983670473777196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715842200,-0.2349875423575466,0.1098443869861605,-0.3076134917866734,0.6266159987676798,0.6294431768913299,1.383572700828236,-6.6603408953200125,5.292373800532681,-0.1702707957401702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715842800,-0.2349875423575466,0.1098443869861605,-0.3076134917866734,0.6266159987676798,0.6294431768913299,1.383572700828236,-6.6603408953200125,5.292373800532681,-0.1702707957401702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715843400,-0.2349875423575466,0.1098443869861605,-0.3076134917866734,0.6266159987676798,0.6294431768913299,1.383572700828236,-6.6603408953200125,5.292373800532681,-0.1702707957401702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715844000,-0.6411728493506348,-0.9802521908787784,-0.7299854426128132,0.9533167593289452,0.603371118623828,1.383572700828236,-1.0491828888575805,2.403525039396129,0.187912995083683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715844600,-0.6411728493506348,-0.9802521908787784,-0.7299854426128132,0.9533167593289452,0.603371118623828,1.383572700828236,-1.0491828888575805,2.403525039396129,0.187912995083683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715845200,-0.6411728493506348,-0.9802521908787784,-0.7299854426128132,0.9533167593289452,0.603371118623828,1.383572700828236,-1.0491828888575805,2.403525039396129,0.187912995083683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
